Age,Attrition,BusinessTravel,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
36,No,Travel_Frequently,11,3,2,2,2,Manufacturing Director,2,6499,1,No,3,0,6,3,3,6,0,3
45,No,Travel_Rarely,7,3,2,3,3,Research Scientist,1,9724,2,No,3,1,25,2,3,1,0,0
35,No,Travel_Frequently,1,3,2,3,1,Research Scientist,1,2194,4,No,4,1,5,2,2,3,1,2
36,Yes,Travel_Rarely,9,3,4,2,1,Research Scientist,3,3388,0,Yes,1,1,2,0,2,1,0,0
59,No,Travel_Frequently,1,1,1,2,2,Sales Executive,3,5473,7,No,4,0,20,2,2,4,1,3
29,No,Travel_Rarely,2,3,3,3,1,Research Scientist,2,2703,0,No,4,1,6,3,3,5,0,4
31,No,Travel_Rarely,1,4,3,3,1,Research Scientist,2,2501,1,No,2,0,1,4,3,1,1,0
32,No,Travel_Rarely,1,3,2,3,2,Research Scientist,2,6220,1,No,2,2,10,3,3,10,0,9
36,No,Travel_Rarely,6,3,2,4,1,Laboratory Technician,4,3038,3,No,2,0,5,3,3,1,0,0
31,No,Travel_Rarely,8,4,3,3,2,Manufacturing Director,4,4424,1,No,4,0,11,2,3,11,1,8
35,No,Travel_Rarely,1,4,3,2,2,Sales Executive,1,4312,0,No,2,0,16,2,3,15,2,8
45,No,Travel_Rarely,6,4,4,3,3,Research Director,1,13245,4,Yes,2,0,17,3,4,0,0,0
37,No,Travel_Rarely,7,4,1,3,3,Research Director,3,13664,4,No,1,0,16,3,4,5,0,2
46,No,Travel_Rarely,5,2,2,3,2,Human Resources,2,5021,8,Yes,4,1,16,2,3,4,0,2
30,No,Travel_Rarely,1,1,4,2,2,Laboratory Technician,4,5126,1,Yes,3,2,10,1,2,10,3,0
35,No,Travel_Rarely,1,3,2,2,1,Research Scientist,3,2859,1,No,1,0,6,3,3,6,0,4
55,No,Travel_Rarely,1,2,1,3,3,Sales Executive,4,10239,3,No,4,1,24,4,3,1,1,0
38,No,Non-Travel,6,3,2,1,2,Research Scientist,4,5329,7,Yes,4,3,17,3,3,13,1,9
34,No,Travel_Rarely,1,2,1,3,2,Manufacturing Director,2,4325,1,No,3,0,5,2,3,5,1,3
56,No,Travel_Rarely,7,3,4,1,3,Manufacturing Director,4,7260,4,No,1,0,37,3,2,6,0,2
23,No,Travel_Rarely,2,1,3,3,1,Sales Representative,1,2322,3,No,3,1,3,3,3,0,0,0
51,No,Travel_Rarely,9,4,4,3,1,Laboratory Technician,4,2075,3,No,2,2,10,4,3,4,0,3
30,No,Travel_Rarely,2,3,3,2,2,Healthcare Representative,4,4152,1,No,1,3,11,3,3,11,10,8
46,Yes,Travel_Rarely,9,2,3,2,3,Sales Executive,4,9619,1,No,4,0,9,3,3,9,4,7
40,No,Travel_Frequently,1,4,3,2,4,Healthcare Representative,2,13503,1,No,4,1,22,3,2,22,11,11
51,No,Travel_Rarely,21,4,3,3,2,Sales Executive,4,5441,0,Yes,4,0,11,2,1,10,1,0
30,No,Travel_Rarely,4,2,3,2,2,Sales Executive,2,5209,1,Yes,2,3,11,4,2,11,2,7
46,No,Travel_Frequently,1,3,3,2,3,Healthcare Representative,1,10673,2,Yes,3,1,21,5,2,10,9,5
32,No,Travel_Rarely,6,4,2,3,2,Sales Executive,3,5010,1,No,1,0,12,0,3,11,5,7
54,No,Travel_Rarely,2,4,1,3,3,Research Director,3,13549,9,No,1,1,16,5,1,4,0,3
24,No,Travel_Rarely,3,2,1,3,2,Sales Executive,3,4999,0,No,1,1,4,2,2,3,0,2
28,No,Non-Travel,4,3,2,3,2,Sales Executive,3,4221,1,No,2,0,5,3,4,5,0,4
58,No,Travel_Rarely,10,4,4,3,4,Sales Executive,3,13872,0,No,3,0,38,1,2,37,1,8
44,No,Non-Travel,23,3,2,3,2,Laboratory Technician,2,2042,4,No,3,1,17,3,4,3,1,2
37,Yes,Travel_Rarely,6,4,3,3,1,Human Resources,1,2073,4,Yes,4,0,7,3,3,3,0,2
32,No,Travel_Rarely,1,1,4,3,1,Research Scientist,1,2956,1,No,4,0,1,2,3,1,0,0
20,Yes,Travel_Frequently,6,3,4,2,1,Laboratory Technician,4,2926,1,Yes,2,0,1,5,3,1,1,0
34,No,Travel_Rarely,6,4,1,3,2,Research Scientist,3,4809,1,No,3,0,16,3,3,16,2,10
37,No,Non-Travel,2,2,3,2,2,Healthcare Representative,4,5163,5,No,4,1,17,2,4,1,0,0
59,No,Non-Travel,2,4,3,2,5,Manager,4,18844,9,No,4,1,30,3,3,3,2,2
50,No,Travel_Frequently,1,3,1,3,5,Research Director,2,18172,3,Yes,1,0,28,1,2,8,0,7
25,Yes,Travel_Rarely,5,3,3,2,2,Sales Executive,3,5744,1,Yes,4,0,6,1,3,6,0,3
25,No,Travel_Rarely,7,1,4,2,1,Research Scientist,4,2889,1,No,3,2,2,2,3,2,2,1
22,No,Travel_Rarely,15,3,2,3,1,Laboratory Technician,4,2871,1,No,3,0,1,5,3,0,0,0
51,No,Travel_Frequently,1,4,1,2,3,Healthcare Representative,1,7484,3,No,3,0,23,1,2,13,12,8
34,Yes,Travel_Frequently,7,3,1,1,2,Laboratory Technician,3,6074,1,Yes,4,0,9,3,3,9,0,6
54,No,Non-Travel,26,3,4,4,4,Manager,4,17328,2,Yes,3,0,23,3,3,5,4,4
24,No,Travel_Rarely,18,1,2,3,1,Laboratory Technician,3,2774,0,No,3,1,6,2,3,5,1,2
34,No,Travel_Rarely,6,4,3,2,2,Research Scientist,2,4505,6,No,3,1,12,3,3,1,0,0
37,No,Travel_Rarely,3,3,3,3,3,Sales Executive,4,7428,2,No,1,0,12,3,3,5,1,3
34,No,Travel_Rarely,5,3,3,2,3,Manager,1,11631,2,No,4,0,14,6,3,11,5,8
36,No,Travel_Frequently,11,2,2,3,3,Sales Executive,4,9738,0,No,3,1,10,6,3,9,2,8
36,No,Travel_Rarely,3,2,1,3,1,Laboratory Technician,4,2835,5,No,1,1,7,2,3,1,0,0
43,No,Travel_Frequently,26,2,3,3,4,Manager,4,16959,1,Yes,4,2,25,3,4,25,4,12
30,No,Travel_Frequently,23,3,1,1,1,Research Scientist,3,2613,1,No,3,3,10,2,2,10,0,9
33,No,Non-Travel,22,2,3,3,2,Sales Executive,2,6146,0,No,1,1,8,2,4,7,0,7
56,Yes,Travel_Rarely,14,4,2,3,1,Research Scientist,2,4963,9,Yes,1,3,7,2,3,5,4,3
51,No,Travel_Rarely,6,3,1,3,5,Research Director,3,19537,7,No,3,0,23,5,3,20,15,15
31,Yes,Travel_Rarely,6,4,2,1,2,Sales Executive,3,6172,4,Yes,2,0,12,3,2,7,7,7
26,No,Travel_Rarely,6,3,3,2,1,Research Scientist,2,2368,1,No,3,0,5,3,2,5,4,3
58,Yes,Travel_Rarely,23,4,4,3,3,Healthcare Representative,4,10312,1,No,4,1,40,3,2,40,15,6
19,Yes,Travel_Rarely,22,1,4,3,1,Sales Representative,3,1675,1,Yes,4,0,0,2,2,0,0,0
22,No,Travel_Rarely,2,1,3,3,1,Laboratory Technician,4,2523,0,No,3,1,3,2,3,2,2,1
49,No,Travel_Rarely,20,4,3,3,2,Manufacturing Director,1,6567,1,No,3,0,16,2,2,15,5,11
43,No,Travel_Frequently,28,3,2,4,1,Research Scientist,3,4739,4,No,4,0,18,2,3,3,1,2
50,No,Travel_Frequently,12,3,3,3,3,Sales Executive,4,9208,4,No,4,0,16,3,3,2,2,1
31,Yes,Travel_Rarely,20,3,2,1,2,Sales Executive,3,4559,3,Yes,3,1,4,2,3,2,2,2
41,No,Travel_Rarely,9,1,3,3,3,Sales Executive,3,8189,3,Yes,3,1,12,2,3,9,0,7
26,No,Travel_Rarely,25,1,3,3,1,Human Resources,3,2942,1,No,4,1,8,3,3,8,5,7
36,No,Travel_Rarely,6,2,2,3,2,Manufacturing Director,2,4941,6,No,4,2,7,0,3,3,0,1
51,Yes,Travel_Frequently,8,4,1,1,3,Manufacturing Director,4,10650,2,No,4,0,18,2,3,4,0,3
39,No,Travel_Rarely,4,4,4,2,2,Sales Executive,3,5902,4,No,3,1,17,1,4,15,5,9
25,No,Travel_Rarely,28,3,1,2,2,Sales Executive,3,8639,2,No,4,0,6,3,3,2,2,2
30,No,Travel_Rarely,9,3,3,3,2,Human Resources,4,6347,0,Yes,4,0,12,2,1,11,4,7
32,Yes,Travel_Rarely,9,3,1,3,1,Laboratory Technician,1,4200,7,No,1,0,10,2,4,5,0,4
45,No,Travel_Rarely,29,3,3,3,1,Research Scientist,4,3452,5,No,2,0,9,2,2,6,0,3
38,No,Travel_Rarely,3,5,4,3,2,Research Scientist,3,4317,3,Yes,2,0,19,2,3,3,2,2
30,No,Travel_Rarely,18,3,1,3,1,Research Scientist,3,2632,1,No,3,0,5,4,2,5,0,4
32,No,Travel_Frequently,9,2,4,1,2,Sales Executive,4,4668,0,No,4,3,9,2,4,8,0,7
30,No,Travel_Rarely,5,3,4,3,1,Research Scientist,1,3204,5,No,4,1,8,3,3,3,2,2
30,No,Travel_Rarely,2,1,2,2,1,Laboratory Technician,4,2720,0,No,4,0,6,3,3,5,1,2
41,No,Travel_Frequently,10,3,4,2,4,Manager,1,17181,4,No,2,1,21,2,2,7,7,7
41,No,Travel_Rarely,9,4,3,3,1,Laboratory Technician,1,2238,2,No,4,1,7,2,3,5,1,4
19,No,Travel_Rarely,3,1,2,3,1,Laboratory Technician,2,1483,1,No,4,0,1,3,3,1,0,0
40,No,Travel_Frequently,26,3,2,3,2,Research Scientist,2,5605,1,No,1,1,20,2,3,20,2,13
35,No,Travel_Rarely,1,5,3,3,3,Sales Executive,2,7295,1,No,1,2,10,3,3,10,0,6
53,No,Travel_Rarely,6,2,2,3,2,Sales Representative,3,2306,2,Yes,4,1,13,3,1,7,4,5
45,No,Travel_Rarely,9,3,2,3,2,Laboratory Technician,2,2348,8,No,3,1,20,2,1,17,0,15
32,No,Travel_Frequently,8,3,2,3,3,Sales Executive,4,8998,1,No,4,0,9,2,3,9,3,7
29,No,Non-Travel,1,1,4,3,2,Manufacturing Director,3,4319,1,No,1,1,10,1,3,10,0,9
51,No,Travel_Rarely,7,4,2,2,2,Manufacturing Director,3,6132,2,No,3,0,10,2,3,1,0,0
58,No,Travel_Rarely,9,3,2,2,1,Research Scientist,2,3346,4,Yes,2,1,9,3,2,1,0,0
40,No,Travel_Rarely,4,4,3,2,3,Sales Executive,4,10855,7,No,1,1,15,2,2,12,2,11
34,No,Travel_Frequently,2,4,3,3,1,Sales Representative,3,2231,6,No,4,1,6,3,3,4,1,2
22,No,Travel_Rarely,19,1,3,3,1,Research Scientist,4,2323,1,No,1,2,2,6,3,2,2,2
27,No,Non-Travel,9,3,4,3,1,Research Scientist,2,2024,6,No,4,1,6,1,1,2,2,2
28,No,Travel_Rarely,21,3,3,3,1,Research Scientist,4,2713,1,No,3,1,5,2,1,5,0,2
57,No,Travel_Rarely,24,2,3,4,3,Healthcare Representative,4,9439,3,Yes,2,1,12,2,1,5,1,4
27,No,Non-Travel,3,3,3,2,1,Research Scientist,3,2566,1,Yes,4,1,1,2,2,1,0,1
50,No,Travel_Rarely,11,3,3,3,5,Manager,2,19926,3,No,2,0,21,5,3,5,4,4
41,No,Travel_Rarely,14,3,1,3,1,Research Scientist,3,2451,4,No,1,1,13,2,3,9,1,8
30,No,Travel_Rarely,5,3,2,3,3,Sales Executive,4,9419,2,No,3,1,12,2,3,10,7,4
38,No,Travel_Rarely,1,4,1,2,2,Sales Executive,4,8686,4,No,3,0,12,2,4,8,0,7
32,No,Travel_Rarely,6,5,3,3,1,Research Scientist,3,3038,3,No,1,0,8,2,3,5,1,4
27,No,Travel_Rarely,17,3,3,3,1,Research Scientist,2,3058,0,Yes,4,1,6,3,2,5,1,1
19,Yes,Travel_Frequently,1,1,3,1,1,Sales Representative,1,2325,0,No,1,0,1,5,4,0,0,0
36,No,Travel_Frequently,3,2,4,3,1,Laboratory Technician,2,2088,4,No,3,0,13,3,2,8,7,2
30,No,Non-Travel,9,3,3,3,2,Laboratory Technician,1,3072,1,No,3,2,12,4,3,12,6,10
45,No,Travel_Rarely,4,2,3,3,2,Sales Executive,1,5006,4,Yes,1,1,9,3,4,5,0,3
56,No,Travel_Rarely,8,3,3,3,1,Research Scientist,1,4257,4,Yes,3,1,19,3,3,2,2,2
33,No,Travel_Rarely,2,3,3,3,1,Research Scientist,4,2500,0,No,1,0,4,2,4,3,0,2
19,Yes,Travel_Rarely,2,3,2,2,1,Laboratory Technician,4,1102,1,No,3,0,1,3,2,1,1,0
46,No,Travel_Rarely,1,2,2,3,3,Sales Executive,1,10453,1,No,3,3,24,2,3,24,15,7
38,No,Travel_Rarely,9,2,3,3,1,Laboratory Technician,4,2288,1,No,3,0,2,3,3,2,2,1
31,No,Travel_Rarely,12,1,3,3,1,Research Scientist,4,3929,8,Yes,3,1,7,0,3,4,0,2
34,No,Travel_Rarely,27,2,4,3,1,Research Scientist,2,2311,2,No,4,0,9,3,3,3,1,2
41,Yes,Travel_Rarely,20,2,2,3,1,Sales Representative,2,3140,1,Yes,4,0,4,5,2,4,0,2
50,No,Travel_Rarely,1,3,3,2,1,Laboratory Technician,3,3690,2,No,4,1,5,2,2,3,0,2
53,No,Travel_Rarely,13,2,4,4,2,Manufacturing Director,1,4450,1,No,3,2,5,3,3,4,1,3
33,No,Travel_Rarely,14,3,4,3,1,Research Scientist,2,2756,1,No,4,1,8,5,3,8,1,6
40,No,Travel_Rarely,4,1,4,3,5,Manager,3,19033,1,No,2,1,21,2,3,20,9,9
55,No,Travel_Rarely,14,4,3,4,5,Research Director,2,18722,8,No,4,0,36,3,3,24,2,15
34,No,Travel_Frequently,2,1,4,2,2,Manufacturing Director,3,9547,1,No,3,0,10,2,2,10,1,9
51,No,Travel_Rarely,3,3,4,3,4,Healthcare Representative,2,13734,3,No,3,0,21,6,3,7,1,0
52,No,Travel_Rarely,1,4,3,2,5,Manager,3,19999,0,No,1,1,34,5,3,33,11,9
27,No,Travel_Rarely,9,3,4,3,1,Research Scientist,2,2279,1,No,4,0,7,2,2,7,0,3
35,Yes,Travel_Rarely,23,2,2,2,2,Manufacturing Director,3,5916,3,Yes,1,0,8,1,3,1,0,1
43,No,Non-Travel,7,3,4,4,1,Research Scientist,4,2089,4,No,4,3,7,3,4,5,2,2
45,No,Non-Travel,2,2,1,2,4,Manager,4,16792,9,No,4,1,22,1,3,20,11,8
37,No,Travel_Rarely,21,3,2,4,1,Research Scientist,1,3564,1,Yes,1,1,8,3,2,8,1,7
35,No,Travel_Frequently,2,3,2,3,2,Laboratory Technician,2,4425,5,No,4,0,10,5,3,6,1,2
42,No,Non-Travel,21,2,3,3,2,Manufacturing Director,3,5265,2,No,2,1,11,5,3,5,0,2
38,No,Travel_Rarely,2,4,4,3,2,Manufacturing Director,3,6553,9,No,2,0,14,3,3,1,0,0
38,No,Travel_Rarely,29,3,4,3,2,Manufacturing Director,4,6261,3,No,1,1,9,3,1,7,1,7
27,No,Travel_Frequently,1,1,3,2,2,Manufacturing Director,1,4298,5,No,3,1,6,1,3,2,2,0
49,No,Non-Travel,18,4,4,3,2,Manufacturing Director,4,6804,1,Yes,1,2,7,0,3,7,1,7
34,No,Travel_Frequently,10,4,4,3,1,Research Scientist,3,3815,1,Yes,4,1,5,4,4,5,2,0
40,No,Travel_Rarely,19,2,3,3,2,Laboratory Technician,4,2741,8,Yes,3,1,15,2,4,7,3,7
38,Yes,Travel_Rarely,29,1,2,3,2,Healthcare Representative,1,6673,7,Yes,2,0,17,2,3,1,0,0
29,Yes,Travel_Rarely,27,3,2,3,3,Sales Executive,4,7639,1,No,4,3,10,3,2,10,1,9
22,No,Travel_Rarely,5,3,4,4,1,Research Scientist,2,2328,1,Yes,1,1,4,2,2,4,2,2
36,No,Travel_Frequently,18,1,2,3,1,Laboratory Technician,4,2153,1,No,1,0,8,2,3,8,1,7
40,No,Non-Travel,9,5,4,2,2,Healthcare Representative,4,4876,9,No,4,1,5,5,1,3,0,2
46,No,Travel_Rarely,1,4,4,3,3,Healthcare Representative,1,9396,7,No,3,1,17,3,3,4,0,3
32,Yes,Travel_Rarely,4,4,4,1,3,Sales Executive,4,10400,1,No,3,0,14,2,2,14,9,8
30,No,Non-Travel,1,1,3,2,3,Manufacturing Director,3,8474,1,No,3,0,12,2,3,11,5,8
27,No,Travel_Frequently,20,3,4,3,2,Sales Executive,3,9981,1,No,4,0,7,2,3,7,0,7
51,No,Travel_Rarely,8,4,2,2,3,Research Director,2,12490,5,No,4,2,16,5,1,10,4,7
30,Yes,Travel_Rarely,3,3,4,3,1,Research Scientist,1,2657,5,Yes,3,0,8,5,3,5,0,4
41,No,Travel_Rarely,6,3,4,3,3,Manager,4,13591,3,Yes,3,0,16,3,3,1,0,0
30,Yes,Travel_Frequently,26,4,3,2,2,Sales Executive,1,6696,5,No,3,0,9,5,2,6,0,1
29,Yes,Travel_Rarely,1,3,3,3,1,Research Scientist,3,2058,0,No,4,0,7,1,2,6,1,5
45,No,Non-Travel,6,3,4,2,3,Sales Executive,4,8865,6,No,4,0,23,2,3,19,12,8
54,No,Travel_Rarely,3,3,4,3,2,Sales Executive,1,5940,2,No,4,1,16,4,3,6,0,5
36,No,Travel_Rarely,5,2,4,3,2,Laboratory Technician,2,5914,8,No,4,0,16,3,4,13,3,7
33,No,Travel_Rarely,4,4,3,2,1,Research Scientist,2,2622,6,No,4,0,7,3,3,3,1,1
37,No,Travel_Frequently,11,3,2,3,3,Research Director,4,12185,1,Yes,3,3,10,1,3,10,0,7
38,No,Travel_Rarely,3,3,1,3,3,Sales Executive,3,10609,0,No,3,2,17,6,2,16,5,13
31,No,Non-Travel,1,4,3,1,2,Manufacturing Director,3,4345,0,No,4,1,6,2,3,5,1,4
59,No,Travel_Rarely,3,3,3,2,1,Research Scientist,4,2177,3,No,1,1,7,6,3,1,0,0
37,No,Travel_Frequently,4,4,1,3,1,Sales Representative,4,2793,4,No,3,1,13,2,3,9,5,8
29,No,Travel_Frequently,1,1,2,3,3,Sales Executive,4,7918,1,No,4,1,11,5,3,11,4,1
35,No,Travel_Frequently,1,3,3,3,3,Sales Executive,3,8789,1,No,1,0,10,3,4,10,0,8
29,Yes,Travel_Rarely,18,1,3,2,1,Research Scientist,4,2389,1,Yes,3,0,4,3,2,4,0,1
52,No,Travel_Rarely,2,3,3,2,1,Laboratory Technician,4,3212,7,No,2,0,6,3,2,2,2,2
42,No,Travel_Rarely,4,2,3,3,5,Manager,4,19232,1,No,4,0,22,3,3,22,11,15
59,No,Travel_Rarely,6,2,2,3,1,Human Resources,3,2267,8,No,4,0,7,2,2,2,2,2
50,No,Travel_Rarely,1,4,4,3,5,Manager,4,19517,3,No,3,1,32,3,2,7,0,6
33,Yes,Travel_Rarely,14,3,3,3,1,Laboratory Technician,4,2436,5,Yes,3,1,8,2,1,5,0,4
43,No,Travel_Rarely,16,3,4,3,4,Manager,4,16064,5,Yes,3,1,22,3,3,17,1,9
33,Yes,Travel_Rarely,2,2,1,3,1,Laboratory Technician,1,2707,7,No,1,0,13,3,4,9,1,7
52,No,Non-Travel,2,4,1,2,5,Manager,3,19068,1,Yes,4,0,33,2,4,33,15,12
32,No,Travel_Rarely,4,2,3,3,1,Sales Representative,2,3931,2,No,1,1,6,5,3,4,1,2
32,Yes,Travel_Rarely,1,3,4,2,1,Laboratory Technician,3,3730,0,Yes,4,0,4,2,1,3,1,2
39,No,Travel_Rarely,1,4,3,3,1,Laboratory Technician,3,2232,7,No,3,3,7,1,3,3,1,2
32,No,Non-Travel,26,4,3,3,2,Sales Executive,4,4465,0,No,1,0,4,2,3,3,2,2
41,No,Travel_Rarely,19,2,3,3,2,Research Scientist,1,3072,2,No,1,2,17,2,2,1,0,0
